provider	dotPath	method	fullUrl	docsUrl
alibaba	api.v1.services.aigc.videoGeneration.videoSynthesis	POST	https://dashscope-intl.aliyuncs.com/compatible-mode/v1/services/aigc/video-generation/video-synthesis	https://help.aliyun.com/zh/model-studio
alibaba	api.v1.tasks	GET	https://dashscope-intl.aliyuncs.com/compatible-mode/v1/tasks/{taskId}	https://help.aliyun.com/zh/model-studio
alibaba	v1.chat.completions	POST	https://dashscope-intl.aliyuncs.com/compatible-mode/v1/chat/completions	https://help.aliyun.com/zh/model-studio
alibaba	v1.models	GET	https://dashscope-intl.aliyuncs.com/compatible-mode/v1/models	https://help.aliyun.com/zh/model-studio
anthropic	v1.files	POST	https://api.anthropic.com/v1/files	https://docs.anthropic.com/en/api
anthropic	v1.files.content	GET	https://api.anthropic.com/v1/files/{fileId}/content	https://docs.anthropic.com/en/api
anthropic	v1.files.del	DELETE	https://api.anthropic.com/v1/files/{fileId}	https://docs.anthropic.com/en/api
anthropic	v1.files.list	GET	https://api.anthropic.com/v1/files	https://docs.anthropic.com/en/api
anthropic	v1.files.retrieve	GET	https://api.anthropic.com/v1/files/{fileId}	https://docs.anthropic.com/en/api
anthropic	v1.messages	POST	https://api.anthropic.com/v1/messages	https://docs.anthropic.com/en/api
anthropic	v1.messages.batches	POST	https://api.anthropic.com/v1/messages/batches	https://docs.anthropic.com/en/api
anthropic	v1.messages.batches.cancel	POST	https://api.anthropic.com/v1/messages/batches/{batchId}/cancel	https://docs.anthropic.com/en/api
anthropic	v1.messages.batches.del	DELETE	https://api.anthropic.com/v1/messages/batches/{batchId}	https://docs.anthropic.com/en/api
anthropic	v1.messages.batches.list	GET	https://api.anthropic.com/v1/messages/batches	https://docs.anthropic.com/en/api
anthropic	v1.messages.batches.results	GET	https://api.anthropic.com/v1/messages/batches/{batchId}/results	https://docs.anthropic.com/en/api
anthropic	v1.messages.batches.retrieve	GET	https://api.anthropic.com/v1/messages/batches/{batchId}	https://docs.anthropic.com/en/api
anthropic	v1.messages.countTokens	POST	https://api.anthropic.com/v1/messages/count_tokens	https://docs.anthropic.com/en/api
anthropic	v1.models.list	GET	https://api.anthropic.com/v1/models	https://docs.anthropic.com/en/api
anthropic	v1.models.retrieve	GET	https://api.anthropic.com/v1/models/{modelId}	https://docs.anthropic.com/en/api
anthropic	v1.skills.create	POST	https://api.anthropic.com/v1/skills	https://docs.anthropic.com/en/api
anthropic	v1.skills.del	DELETE	https://api.anthropic.com/v1/skills/{skillId}	https://docs.anthropic.com/en/api
anthropic	v1.skills.list	GET	https://api.anthropic.com/v1/skills	https://docs.anthropic.com/en/api
anthropic	v1.skills.retrieve	GET	https://api.anthropic.com/v1/skills/{skillId}	https://docs.anthropic.com/en/api
anthropic	v1.skills.versions.create	POST	https://api.anthropic.com/v1/skills/{skillId}/versions	https://docs.anthropic.com/en/api
anthropic	v1.skills.versions.del	DELETE	https://api.anthropic.com/v1/skills/{skillId}/versions/{version}	https://docs.anthropic.com/en/api
anthropic	v1.skills.versions.list	GET	https://api.anthropic.com/v1/skills/{skillId}/versions	https://docs.anthropic.com/en/api
fal	ai.v1.models	GET	https://api.fal.ai/v1/models	https://docs.fal.ai
fal	ai.v1.models.pricing	GET	https://api.fal.ai/v1/models/pricing	https://docs.fal.ai
fal	ai.v1.models.pricing.estimate	GET	https://api.fal.ai/v1/models/pricing/estimate	https://docs.fal.ai
fal	ai.v1.models.pricing.estimate	POST	https://api.fal.ai/v1/models/pricing/estimate	https://docs.fal.ai
fal	ai.v1.models.requests.payloads	DELETE	https://api.fal.ai/v1/models/requests/{param}/payloads	https://docs.fal.ai
fal	ai.v1.models.requests.payloads	GET	https://api.fal.ai/v1/models/requests/{param}/payloads	https://docs.fal.ai
fal	ai.v1.queue.submit	POST	https://api.fal.ai/v1/POST	https://docs.fal.ai
fal	ai.v1.serverless.files.uploadLocal	POST	https://api.fal.ai/v1/serverless/files/file/local/{param}	https://docs.fal.ai
fal	ai.v1.serverless.files.uploadUrl	POST	https://api.fal.ai/v1/serverless/files/file/url/{param}	https://docs.fal.ai
fal	ai.v1.serverless.logs	POST	https://api.fal.ai/v1/serverless/logs/stream	https://docs.fal.ai
fal	ai.v1.workflows	GET	https://api.fal.ai/v1/workflows	https://docs.fal.ai
fal	bytedance.seedance2p0.imageToVideo	POST	https://api.fal.ai/v1/bytedance/seedance-2.0/image-to-video	https://docs.fal.ai
fal	bytedance.seedream.v5.lite.edit	POST	https://api.fal.ai/v1/fal-ai/bytedance/seedream/v5/lite/edit	https://docs.fal.ai
fal	bytedance.seedream.v5.lite.textToImage	POST	https://api.fal.ai/v1/fal-ai/bytedance/seedream/v5/lite/text-to-image	https://docs.fal.ai
fal	falAi.elevenlabs.speechToText.scribeV2	POST	https://api.fal.ai/v1/fal-ai/elevenlabs/speech-to-text/scribe-v2	https://docs.fal.ai
fal	nanoBananaPro.edit	POST	https://api.fal.ai/v1/fal-ai/nano-banana-pro/edit	https://docs.fal.ai
fal	nanoBananaPro.textToImage	POST	https://api.fal.ai/v1/fal-ai/nano-banana-pro	https://docs.fal.ai
fal	v1.serverless.logs	POST	https://api.fal.ai/v1/serverless/logs/stream	https://docs.fal.ai
fireworks	v1.accounts	GET	https://api.fireworks.ai/inference/v1/v1/accounts/{accountId}	https://docs.fireworks.ai/api-reference
fireworks	v1.accounts.apiKeys	DELETE	https://api.fireworks.ai/inference/v1/v1/accounts/{accountId}/users/{userId}/apiKeys:delete	https://docs.fireworks.ai/api-reference
fireworks	v1.accounts.apiKeys.create	POST	https://api.fireworks.ai/inference/v1/v1/accounts/{accountId}/users/{userId}/apiKeys	https://docs.fireworks.ai/api-reference
fireworks	v1.accounts.apiKeys.list	GET	https://api.fireworks.ai/inference/v1/v1/accounts/{accountId}/users/{userId}/apiKeys	https://docs.fireworks.ai/api-reference
fireworks	v1.accounts.batchInferenceJobs	DELETE	https://api.fireworks.ai/inference/v1/v1/accounts/{accountId}/batchInferenceJobs/{jobId}	https://docs.fireworks.ai/api-reference
fireworks	v1.accounts.batchInferenceJobs	GET	https://api.fireworks.ai/inference/v1/v1/accounts/{accountId}/batchInferenceJobs/{jobId}	https://docs.fireworks.ai/api-reference
fireworks	v1.accounts.batchInferenceJobs.create	POST	https://api.fireworks.ai/inference/v1/v1/accounts/{accountId}/batchInferenceJobs	https://docs.fireworks.ai/api-reference
fireworks	v1.accounts.batchInferenceJobs.list	GET	https://api.fireworks.ai/inference/v1/v1/accounts/{accountId}/batchInferenceJobs	https://docs.fireworks.ai/api-reference
fireworks	v1.accounts.datasets	DELETE	https://api.fireworks.ai/inference/v1/v1/accounts/{accountId}/datasets/{datasetId}	https://docs.fireworks.ai/api-reference
